Unnamed: 0,text,Emotion,label
,lot going life feel overwhelmed,,4.0
,took granted weeks ago really weird makes feel really agitated frustrated,,3.0
,also know feels like relationship feel like burden much worth loving pursuing,,2.0
,know mean feeling agitated,,4.0
,feeling pressured blog bad,,4.0
,feel like sociable aaaah,,1.0
,didnt feel deprived chai morning,,0.0
,feeling unsure near breaking point,,4.0
,remember leaving church feeling invigorated every sunday tuesday night,,1.0
,nolonger tell anybody feel im thinking cause seems get hated already,,0.0
,asked meant shes gonna feel jealous loada girls said maybee like bitt,,3.0
,feel supporting troops demanding send young men women harm way bear arms country done nothing threaten us point,,2.0
,feel funny sometimes,,5.0
,feeling crampy cranky,,3.0
,indicated feeling quite overwhelmed work responsibilities teaching traveling writing,,4.0
,say even feeling embarrassed pause rewind dvred commercials breaking dawn preview comes,,0.0
,spend lot time feeling disappointed better job attaining goals,,0.0
,feel stressed love feeling calming spirit heavenly father feeling keep working,,0.0
,feel thankful greeted many friends families,,1.0
,longer feel doomed falling abyss way,,0.0
,bought urban outfitters could fit mm film feeling remorseful ever since,,0.0
,feel accepted,,2.0
,ive feeling briar beagle would give one disgusted looks even tried exercising souless surroundings,,3.0
,need accept treated like princess everyday without feeling dumb situation,,0.0
,got nap feeling really rotten exhausted feel like could wilt onto floor sitting,,0.0
,feel indecisive,,4.0
,feel pressure vessel seriously damaged far radiation would leaked said,,0.0
,better things feel humiliated,,0.0
,feel check wonder see got get loving unconditionally,,2.0
,ive feeling bit melancholy,,0.0
,believe feeling accepted non judgemental way healing,,1.0
,feel stressed,,0.0
,feel benevolent enough buy peanuts treats,,1.0
,feel fine class pin button count layout horizontal pin,,1.0
,feel worthless useless past weeks im certified stander home,,0.0
,feel immensely distracted barrage media receive solicit,,3.0
,ive feeling adoring fans would teh whole like friends felt brave excited ventrured forth guitar hand local open mic night,,2.0
,love captured atmospheric feeling landscapes really impressed,,5.0
,hand started fondling aching cock fabric boxers instinctively arched back feel delicious sensation,,1.0
,feeling energized productive creative,,1.0
,feeling lucky,,1.0
,feel vital keeping spirit young even body fades,,1.0
,feel agitated annoyed worried fearful feelings easily lead short tempered family feelings disharmony,,4.0
,still feel scared every time go strange place,,4.0
,feel author talented,,1.0
,feel jaded bored,,0.0
,im pretty sure week half although im feeling kind betrayed disillusioned men moment everythings okay,,0.0
,feel like ive lost mind,,0.0
,could feel breath smell sweet scent,,1.0
,could take beliefs feelings lock safe somewhere get human life squared away everyone know would lot happier perhaps,,1.0
,feeling sinfully horny sunday morning,,2.0
,feel like someone listen sympathetic,,2.0
,ive feeling little blank could think nothing write might interesting explore mind captivated,,0.0
,feel sleep drained head sat dog nudging affection wife wanting affection,,0.0
,feel aid women infertility disorders valuable individual guidance offered restricted number people,,1.0
,remember feeling envious would young healthy person envy someone barely survived,,3.0
,im still feeling emotional,,0.0
,im last bit sleep get morning feel like emotional energy waits,,0.0
,know nothing going change even feel envious people cant stop feeling jealous people human beings instinct act,,3.0
,im happy feel energy inspired crafts,,1.0
,struck masculine feel strong graphics deep colors months painting nighthawks edward hopper,,1.0
,feel like youre body im trying affectionate feels like im molesting stranger dont even know,,2.0
,think opposite get feel defeated everything possible keep baby healthy sugars check,,0.0
,trying feel bitter else feel seems desire pretty much impossible,,3.0
,feel nagged stop caring,,2.0
,feel totally useless today,,0.0
,feel honored receive grassroots preservation award,,1.0
,feel contented hearing said hellip,,1.0
,reminded pavement yurusei yatsura coheed cambria without feeling offended ripped,,3.0
,feel positive regard,,1.0
,im feeling lot less ugly duckling lot href http,,0.0
,suppose one feeling generous one could say stressed elevator ride,,1.0
,im feeling kind melancholy really want go home cuddle boys,,0.0
,feel like people love want need talk connect anymore fucked mental health emotional problems help contribute contain understand encompass,,3.0
,feel suffering bear take refuge lord blessed sacrament speak profound silence,,0.0
,feel afraid agn lol whats new,,4.0
,writing sharing much story believe heart world needs know riches god feeling angry towards trying bash people leaders parents,,3.0
,im feeling dazed alot things mind,,5.0
,feel scared voices start speak,,4.0
,feel honoured part bond family much hope chance work sometime future,,1.0
,feel insulted pete edochie responds death,,3.0
,feel hostile extent,,3.0
,always feel pressured,,4.0
,electrocuted thumb cant type well cant really know feel fingers acceptable excuse late paper,,1.0
,carried phone pocket feel pull get lost,,0.0
,sit writing feel unhappy inside,,0.0
,could feel mother sympathetic dread diagnosed,,2.0
,get disappointed makes feel rejected especially disappointed loved one,,0.0
,left feeling brow beaten,,0.0
,feeling vulnerable nervous worried anxious bit lost,,4.0
,feeling defeated usually pick things easily way getting,,0.0
,certainly acquired taste lately many around seemed feel taste bitter,,3.0
,feel rich life real online filled friends family would want live without,,1.0
,feel bad saying happy dont think way im going anymore,,0.0
,ive feeling afraid lot lately,,4.0
,see momo feel shy momo hmmm gt heyy momo,,4.0
,feel amused looking little turtle sneaked,,1.0
,purple month doesnt feel surprised fact zhuo feng many pupils clear xiao identity dont even say main star feng young,,5.0
,feel like way humiliated asa guy obssessed played embarrassing joke getting caught tabbys wife tabby lover married blindly fell love,,0.0
,feel like breathing delicate dried rose petals sometimes,,2.0
,im thankful feel somewhat energetic instead dead fish would become every time every chemo,,1.0
,feel honored today want share emotion gratitude received complimentary email someone reads thought provoking perspectives,,1.0
,ive tried bare minerals makes feel like face dirty,,0.0
,feel quite passionate old children undergo beauty treatments,,1.0
,feel like going struggle fail suffer really dumb,,0.0
,im feel little bit shy talked second manage saw eyes theres something girl,,4.0
,love place series real heroes love way couples books fall love feels violent crazy place call home,,3.0
,feel lively full bounce,,1.0
,always sincere nice feeling sociable compassionate helpful girl,,1.0
,feel like obnoxious nagging call times everyday tag alonger finally sick tolerating giving cold shoulder,,3.0
,loved feeling got amazing slalom run whether training race,,1.0
,feeling especially shy awkward know many people,,4.0
,im still feeling little groggy lack sleep shall try replenish,,0.0
,sitting home revising today feeling quite stressed,,3.0
,guess feelings meant inhibited prohibited,,4.0
,embraced feeling thankful middle wall partition thus far broken,,1.0
,began feel strange,,4.0
,feel pressured constrained choices behave particular way felt busy,,4.0
,one low carb meal bars breakfast feeling smug spotted left pies muffins attractive foods,,1.0
,im going life feeling rather totally numb,,0.0
,dont want flowers candy kind guy knows like thinly sliced limes mineral water makes feel glamorous humored pretentious,,1.0
,feel unprotected class post count link href http reprogramming process,,0.0
,always feel really confident life choices go home,,1.0
,feeling frustrated session attended,,3.0
,feel like last year especially gone girl woman despite hesitant always getting older next year twenty four surprised pleased done,,4.0
,feel attacked insulted helpful realize idea attack alive well mind,,3.0
,ive missed feeling ive missed ive missed something work towards keeps focus keeps phone potential trouble get,,0.0
,im feeling bit uncomfortable,,4.0
,know nowhere near worse brethren overseas right feel like im physically emotionally spiritually assaulted,,4.0
,feeling reluctant overwhelmed try think alternative abandoning dream,,4.0
,usually like sam sometimes gets downright whiny admit mistakes made due sibling rivalry pride eventually led end season kind made feel less tragic whole thing,,0.0
,hope shes feeling generous today treat japanese food something haha great day,,1.0
,feeling bit offended,,3.0
,offend easily feel intelligence insulted,,3.0
,always feel bit awkward comment someone blog invariably go rabbit trails feel though overstepping like tell find feeling way mind slightest,,0.0
,feel like may coming point tv series show incredibly popular sadly writers coming end story lines soon nothing left keep plot float,,1.0
,entertaining memory time feeling like guy movie dazed confused says keep getin older girls stay age,,5.0
,continue enforce playdate policy meant continued feel angry twice day horrible morning drop afternoon reminded noah couldnt play bad drop missing mommy,,3.0
,woke feeling groggy grumpy like last thing wanted make dinner,,0.0
,wake feeling like something terrifyingly bad bound happen even get chance stick limb outside covers,,0.0
,feel god life ever things wonderful right,,1.0
,feel like ive neglectful friend due fact feel like hinderance stay away,,0.0
,know could look upon sea sky without feeling mildly discontent,,0.0
,hate feeling like bullshit ok done bye,,1.0
,tasted hari raya cookies feeling greedy would go prebook kueh makmur tart know hygiene standard ingredients,,3.0
,sit feeling drained really wonder reach point,,0.0
,buy something go look else didnt buy bit comparison suddenly feel dissatisfied purchase,,3.0
,ive feeling incredibly inadequate usual gotten point almost feel paralyzed,,0.0
,im amazed many men say feel unloved house messy fix dinner,,0.0
,feel restless weekend heading way,,4.0
,feel ugly cover beautiful blanket make believe gown,,0.0
,always said felt blessed today feeling reassured many times,,1.0
,cant strappy shoes work feel weird took thrifted ninewest,,4.0
,love fact look best feel terrific eat right constantly exercise,,1.0
,decent article knew likely good information initial response feel offended want argue despite fact talking exactly,,3.0
,moments feel overwhelmed eyes well tears,,4.0
,started feeling thankful food able enjoy delicious things got cooking baking healthy meals family,,1.0
,want tag people think silly people want tagged want make feel unwelcome,,0.0
,im taking allowing get sleep wonderful leaving feeling groggy nauseated,,0.0
,feel unpleasant drop stomach elevator doors open floor,,0.0
,feel highly talented bunch roling cyclinders,,1.0
,feel hand stay faithful,,2.0
,focused heavy breathing even strides drops sweat forehead forgot feel socially awkward,,0.0
,cant help feeling way,,0.0
,feel like would order carryout lived area still curious try tacos,,5.0
,feel afraid whatever ad anything happen idc good bad afraid hope god help whatever,,4.0
,entered living room horrible feeling aching depths stomach,,0.0
,feel glad finland well known visual artist vesa kivinen called work,,1.0
,feel relatively safe normal whatever might call,,1.0
,feel bitchy saying think next saturday want alone,,3.0
,feel honored shortlisted within patient ambassador volunteer category recognises members public staff provide outstanding help support volunteering providing patient opinions either public partnership forum patients panel,,1.0
,feel quite helpless prayer effective tool answers nothing else offer right,,0.0
,know feel pretty disgusted nonstop lefty propaganda ministry churns public tuned,,3.0
,feel complacent satisfied,,1.0
,ventured fabrics amp fabrics whim yesterday feeling bit nervous knowing would tempted beyond comfor,,4.0
,havent feeling homesick knowing getting together enjoy mums cooking make want teleporter,,0.0
,feel ugly hated,,0.0
,feeling whether mad sad disappointed peaceful,,3.0
,feel talented enough team win games go deep tournament,,1.0
,feel innocent one dream fill brain crazy,,1.0
,never feel depressed cancer learnt live sleep,,0.0
,feel pressure falling shoulders im feeling slightly doubtful leads unhappy thoughts usually like optimistic self must say,,4.0
,kind feel little petty,,3.0
,hostage negotiator case feeling hopeful future,,1.0
,believe people choose causes feel passionate right desire push charities worthy another,,1.0
,feel privileged allowed sanctum studio many different paintings studies lining walls morph grow week week,,1.0
,grew feeling rejected male peers,,0.0
,feel like make valued input tried much possible ensure equal part construction,,1.0
,described feeling feeling control completely restless fear could still happen obsession trying fact working,,4.0
,feel important fancy room fancy furniture nice view downtown dallas,,1.0
,wanna feel good,,1.0
,never feel like im supporting,,1.0
,want snap simply feel simply live laugh enjoy life matter idiotic,,0.0
,assumed would feel casual,,1.0
,admit left feeling shaken bit goose,,4.0
,feel dangerous especially new believer grounded word god,,3.0
,rearranged furniture flat got stuck chair,,3.0
,feeling stressed bit anxious,,3.0
,persevered storm rejections feeling confident god called,,1.0
,feeling comfortable first fight saw things working expecting better rendall munroe think might underestimated first time around,,1.0
,im quite sure really feels im pretty sure realizes going miss getting watch parade something really enjoys,,1.0
,feel somewhat fake group,,0.0
,feeling particularly pissed wanted go party,,3.0
,feel like im still quite bad describing feelings good words beautiful phrases,,0.0
,feel heartbroken paul walker tragic disappearance life someone generous beautiful talented end way horrible individuals keep living torturing assaulting killing people,,0.0
,feel perfectly mellow,,1.0
,feel give credit jen mitchell gorgeous card href http www,,1.0
,alternating feeling thrilled see dads family weekend terrified black sheep among normalcy,,1.0
,feel sweet boy,,2.0
,feel helpless superfluous jenn elaine naturally,,4.0
,thought didnt feel anything anymore ok well today different story feel want heart hurts thinking wont around still want around guess still valid,,1.0
,im feeling better hopefully things start falling back old routine,,1.0
,hope feel incredibly cool,,1.0
,watched news tv,,3.0
,really go looking definately see enjorlas marius ship comes though sadly feel mostly one sided marius nothing rich schoolboy following whims without thoughts concequences,,1.0
,feel gracious gesture apologizing latest post osp rand license terms,,2.0
,get people asking feels like hated man dallas county said assessor steve helm,,0.0
,reported feeling marginalized intimidated subjected threats retaliation,,4.0
,im sure im peace situation im feeling bitter past five months something changed within,,3.0
,feeling profoundly peaceful,,1.0
,feel bad accepting,,0.0
,tried sorting area cat houses lunchtime guess printer ordeal feeling quite uptight put hold,,4.0
,made make feel dumb dumber,,0.0
,power feeling justify laziness bitchy skinny girls,,3.0
,feel like sweet company finally coming together,,2.0
,im making mood icons right let see feel think course charming,,1.0
,feel like accepted bucking force coming quarters tells something wrong married children,,1.0
,apologise pictures good quality youre stuck ideas feel free check websites captions,,1.0
